index,hash,key,description,english value,translated value
285,d41d8cd98f00b204e9800998ecf8427e,"['chests', 'unlocksInText']","Label shown above the time countdown for when a chest will unlock.
Context Image: http://files.froemling.net/translateGuideImages/chestOpenNow.png",Unlocks In,Avautuu sisään
286,6ab650acf08edd01b8962403a7146905,['choosingPlayerText'],a player's name while choosing their player; shown in the main menu header if they hit start/menu,<choosing player>,<valitaan pelaajaa>
287,d41d8cd98f00b204e9800998ecf8427e,['claimText'],Label for a button which claims some prize,Claim,Väite
288,d41d8cd98f00b204e9800998ecf8427e,['codesExplainText'],"Explains what codes are used for in settings->advanced->enter code
Context Image: http://files.froemling.net/translateGuideImages/advancedEnterCode.png","Codes are provided by the developer to
diagnose and correct account issues.","Koodit toimittaa kehittäjä osoitteeseen
diagnosoida ja korjata tiliongelmat."
289,ae6eeec63092dce0fb4785100b5e4496,['completeThisLevelToProceedText'],,"You must complete
this level to proceed!","Sinun täytyy läpäistä 
tämä taso edetäksesi!"
290,099a40f37d1f68be36bec5fbf2c8295c,['completionBonusText'],,Completion Bonus,Läpäisy Bonus
291,7319778d8c47e81c0f497383eb8b39ae,"['configControllersWindow', 'configureControllersText']","the button to configure controllers (used to be called ""configure gamepads"")",Configure Controllers,Määritä Ohjaimet
292,e6584aba969fac503a5ac2b3274ee4f9,"['configControllersWindow', 'configureKeyboard2Text']",,Configure Keyboard P2,Määritä Näppäimistö P2
293,a068c98d0017113c958afa20bad8d88e,"['configControllersWindow', 'configureKeyboardText']",,Configure Keyboard,Määritä Näppäimistö
294,1372c5a476090f811ca33914af6e6523,"['configControllersWindow', 'configureMobileText']","label for the button that takes you to the window that talks about how to use your phones as controllers using the ""BombSquad Remote"" app",Mobile Devices as Controllers,Mobiililaitteet Ohjaimina
295,c72ec605f2b6ceeaa3926d44bc3e85a5,"['configControllersWindow', 'configureTouchText']",,Configure Touchscreen,Määritä Kosketusnäyttö
296,974349c42f1e145a7edd868b709162e7,"['configControllersWindow', 'ps3Text']",,PS3 Controllers,PS3 Ohjaimet
297,0193736304799b0455e03e3366bf386b,"['configControllersWindow', 'titleText']",,Controllers,Ohjaimet
298,e57b68a44dfb957303ac70035938811e,"['configControllersWindow', 'wiimotesText']",,Wiimotes,Wiimotes
299,044c680c6a5730f3bc9ed9326ef45377,"['configControllersWindow', 'xbox360Text']",,Xbox 360 Controllers,Xbox 360 Ohjaimet
300,d5cb935d2529c5172f13816bd5cd932f,"['configGamepadSelectWindow', 'androidNoteText']","shown when selecting a controller to configure (only on android)
Context Image: http://files.froemling.net/translateGuideImages/pressAnyButton.png",Note: controller support varies by device and Android version.,Huomio: ohjaintuki vaihtelee laitteen ja Android version mukaan.
301,1166914391a4435dd93a526380114c5a,"['configGamepadSelectWindow', 'pressAnyButtonText']","shown when selecting a controller to configure
Context Image: http://files.froemling.net/translateGuideImages/pressAnyButton.png","Press any button on the controller
 you want to configure...","Paina ohjaimen näppäintä, jonka 
haluat määrittää uudelleen..."
302,7319778d8c47e81c0f497383eb8b39ae,"['configGamepadSelectWindow', 'titleText']","title shown when selecting a controller to configure
Context Image: http://files.froemling.net/translateGuideImages/pressAnyButton.png",Configure Controllers,Määritä Ohjaimet
303,6a26583c24c81fe8ecc1a78b140ddd8b,"['configGamepadWindow', 'advancedText']",button label for advanced gamepad settings,Advanced,Kehittyneet
304,a684dc45aecdd75dca621e9c9b1fa3d6,"['configGamepadWindow', 'advancedTitleText']","title shown when doing advanced gamepad config
Context Image: http://files.froemling.net/translateGuideImages/advancedControllerSetup.png",Advanced Controller Setup,Kehittyneet Ohjain Asetukset
305,b321f6660598bad238999cc0d4841ac0,"['configGamepadWindow', 'analogStickDeadZoneDescriptionText']",,(turn this up if your character 'drifts' when you release the stick),"(aseta tämä ylös, jos hahmosi 'liukuu' kun vapautat ohjaussauvan)"
306,b19e1c815dac773e828559b5791b76e7,"['configGamepadWindow', 'analogStickDeadZoneText']","refers to the ""dead zone"" on an analog stick - the area in a center where no motion occurs",Analog Stick Dead Zone,Analogisen Sauvan Dead Zone
307,eec2274808a8ab2a9c62577a3b8a500f,"['configGamepadWindow', 'appliesToAllText']","shown when configuring a controller to clarify that this is for a *type* of controller; not just a single one
Context Image: http://files.froemling.net/translateGuideImages/controllerSetup.png",(applies to all controllers of this type),(pätee kaikkiin tämän tyyppisiin ohjaimiin)
308,2d3342c3cf22acabb307df996846dcea,"['configGamepadWindow', 'autoRecalibrateDescriptionText']",,(enable this if your character does not move at full speed),"(aseta päälle, jos hahmosi ei liiku täyttä vauhtia)"
309,d70b6d1dfe08841a9a2e4ab3771edd7a,"['configGamepadWindow', 'autoRecalibrateText']",,Auto-Recalibrate Analog Stick,Kalibroi Analoginen Sauva Automaattisesti
310,f9a83be25697c344aa83938cf00d8662,"['configGamepadWindow', 'axisText']",,axis,akseli
311,8ec7349e1a6d75f1c5cc618be6c7996b,"['configGamepadWindow', 'clearText']",button label to clear a button assignment,clear,tyhjennä
312,b59e0075b8185bd25c8e358dc4ed0467,"['configGamepadWindow', 'dpadText']",,dpad,suuntanäppäimet
313,8d04f781d537fbc3a05ecab2de18f1f6,"['configGamepadWindow', 'extraStartButtonText']","label for a second start button (in case a controller has more than one button that should function as start)
Context Image: http://files.froemling.net/translateGuideImages/advancedControllerSetup.png",Extra Start Button,Extra Start Näppäin
314,d41d8cd98f00b204e9800998ecf8427e,"['configGamepadWindow', 'ifNothingHappensTryAnalogText']",,"If nothing happens, try assigning to the analog stick instead.","Jos mitään ei tapahdu, yritä määrittää sen sijaan analoginen tikku."
315,d41d8cd98f00b204e9800998ecf8427e,"['configGamepadWindow', 'ifNothingHappensTryDpadText']",,"If nothing happens, try assigning to the d-pad instead.","Jos mitään ei tapahdu, yritä määrittää sen sijaan d-pad."
316,d41d8cd98f00b204e9800998ecf8427e,"['configGamepadWindow', 'ignoreCompletelyDescriptionText']",Description for the option in advanced controller settings to ignore a controller completely.,(prevent this controller from affecting either the game or menus),(estä tätä ohjainta vaikuttamasta peliin tai valikoihin)
317,d41d8cd98f00b204e9800998ecf8427e,"['configGamepadWindow', 'ignoreCompletelyText']",Title for the option in advanced controller settings to ignore a controller completely.,Ignore Completely,Ohita kokonaan
318,d41d8cd98f00b204e9800998ecf8427e,"['configGamepadWindow', 'ignoredButton1Text']","label for a controller button that should be ignored by the game
Context Image: http://files.froemling.net/translateGuideImages/advancedControllerSetup2.png",Ignored Button 1,Ohitettu painike 1
319,d41d8cd98f00b204e9800998ecf8427e,"['configGamepadWindow', 'ignoredButton2Text']","label for a second controller button that should be ignored by the game
Context Image: http://files.froemling.net/translateGuideImages/advancedControllerSetup2.png",Ignored Button 2,Ohitettu painike 2
320,d41d8cd98f00b204e9800998ecf8427e,"['configGamepadWindow', 'ignoredButton3Text']","label for a third controller button that should be ignored by the game
Context Image: http://files.froemling.net/translateGuideImages/advancedControllerSetup2.png",Ignored Button 3,Ohitettu painike 3
321,d41d8cd98f00b204e9800998ecf8427e,"['configGamepadWindow', 'ignoredButton4Text']",,Ignored Button 4,Ohitettu painike 4
322,d41d8cd98f00b204e9800998ecf8427e,"['configGamepadWindow', 'ignoredButtonDescriptionText']",,(use this to prevent 'home' or 'sync' buttons from affecting the UI),"(käytä tätä estääksesi ""koti""- tai ""synkronointi""-painikkeet vaikuttamasta käyttöliittymään)"
323,d41d8cd98f00b204e9800998ecf8427e,"['configGamepadWindow', 'pressAnyAnalogTriggerText']",,Press any analog trigger...,Paina mitä tahansa analogista liipaisinta...
324,d41d8cd98f00b204e9800998ecf8427e,"['configGamepadWindow', 'pressAnyButtonOrDpadText']",,Press any button or dpad...,Paina mitä tahansa painiketta tai dpadia...
325,d41d8cd98f00b204e9800998ecf8427e,"['configGamepadWindow', 'pressAnyButtonText']",,Press any button...,Paina mitä tahansa painiketta...
326,a8e4d010ca3f3d30818b5d387f2c891a,"['configGamepadWindow', 'pressLeftRightText']",,Press left or right...,Paina vasemmalle tai oikealle...
327,33637d921cda0656b777e815a7fa3874,"['configGamepadWindow', 'pressUpDownText']",,Press up or down...,Paina ylös tai alas...
328,d41d8cd98f00b204e9800998ecf8427e,"['configGamepadWindow', 'runButton1Text']",,Run Button 1,Suorita-painike 1
329,d41d8cd98f00b204e9800998ecf8427e,"['configGamepadWindow', 'runButton2Text']",,Run Button 2,Suorita-painike 2
330,d41d8cd98f00b204e9800998ecf8427e,"['configGamepadWindow', 'runTrigger1Text']",,Run Trigger 1,Suorita laukaisin 1
331,d41d8cd98f00b204e9800998ecf8427e,"['configGamepadWindow', 'runTrigger2Text']",,Run Trigger 2,Suorita laukaisin 2
332,d41d8cd98f00b204e9800998ecf8427e,"['configGamepadWindow', 'runTriggerDescriptionText']","label for when assigning analog triggers to run
Context Image: http://files.froemling.net/translateGuideImages/advancedControllerSetup.png",(analog triggers let you run at variable speeds),(analogisten laukaisujen avulla voit ajaa vaihtelevilla nopeuksilla)
333,d41d8cd98f00b204e9800998ecf8427e,"['configGamepadWindow', 'secondaryEnableText']",,Enable,Ota käyttöön
334,d41d8cd98f00b204e9800998ecf8427e,"['configGamepadWindow', 'secondaryText']","title for advanced gamepad section that lets you assign a second set of controls to a single device (useful for some 2-in-1 controllers)
Context Image: http://files.froemling.net/translateGuideImages/secondaryController.png",Secondary Controller,Toissijainen ohjain
335,d41d8cd98f00b204e9800998ecf8427e,"['configGamepadWindow', 'secondHalfText']","description for advanced gamepad section that lets you assign a second set of controls to a single device (useful for some 2-in-1 controllers)
Context Image: http://files.froemling.net/translateGuideImages/secondaryController.png","Use this to configure the second half
of a 2-controllers-in-1 device that
shows up as a single controller.","Käytä tätä määrittääksesi toisen puoliskon
2-ohjainta 1-laitteessa
näkyy yhtenä ohjaimena."
336,8fb06dd24f0b7a61ad3d1da231a10f23,"['configGamepadWindow', 'startButtonActivatesDefaultDescriptionText']",,(turn this off if your start button is more of a 'menu' button),(Laita tämä pois päältä jos käynnistys nappisi on enemmänkin 'valikko' nappi)
337,d41d8cd98f00b204e9800998ecf8427e,"['configGamepadWindow', 'startButtonActivatesDefaultText']",,Start Button Activates Default Widget,Käynnistä-painike Aktivoi oletuswidgetin
338,63bf21cb88d29e8aabf899c3a7772979,"['configGamepadWindow', 'titleText']","title for the configure-controller window
Context Image: http://files.froemling.net/translateGuideImages/controllerSetup.png",Controller Setup,Ohjaimen säätö
339,d41d8cd98f00b204e9800998ecf8427e,"['configGamepadWindow', 'twoInOneSetupText']",,2-in-1 Controller Setup,2-in-1-ohjaimen asetukset
340,d41d8cd98f00b204e9800998ecf8427e,"['configGamepadWindow', 'uiOnlyDescriptionText']","Description for the ""UI-Only"" option for controllers; meant to be used for simple remotes and things that can navigate menus but should not be allowed to enter a game",(prevent this controller from actually joining a game),(estä tätä ohjainta todella liittymästä peliin)
341,d41d8cd98f00b204e9800998ecf8427e,"['configGamepadWindow', 'uiOnlyText']","Title for the ""UI-Only"" option for controllers; meant to be used for simple remotes and things that can navigate menus but should not be allowed to enter a game",Limit to Menu Use,Rajoita valikon käyttöön
342,d41d8cd98f00b204e9800998ecf8427e,"['configGamepadWindow', 'unassignedButtonsRunText']",,All Unassigned Buttons Run,Kaikki määrittämättömät painikkeet toimivat
343,d41d8cd98f00b204e9800998ecf8427e,"['configGamepadWindow', 'unsetText']",,<unset>,<unset>
344,d41d8cd98f00b204e9800998ecf8427e,"['configGamepadWindow', 'vrReorientButtonText']","Title for the button used to assign a ""VR Reorient"" controller button; used in the VR version of the game to recenter the view based on where the player is currently facing.",VR Reorient Button,VR Reorient -painike
345,545d893ab17368391d61e9f3dd9015f4,"['configKeyboardWindow', 'configuringText']",,Configuring ${DEVICE},Määritetään ${DEVICE}
346,d41d8cd98f00b204e9800998ecf8427e,"['configKeyboardWindow', 'keyboard2NoteText']",,"Note: most keyboards can only register a few keypresses at
once, so having a second keyboard player may work better
if there is a separate keyboard attached for them to use.
Note that you'll still need to assign unique keys to the
two players even in that case.","Huomautus: useimmat näppäimistöt voivat rekisteröidä vain muutaman näppäinpainalluksen osoitteessa
kerran, joten toisen kosketinsoittimen hankkiminen voi toimia paremmin
jos niihin on liitetty erillinen näppäimistö heidän käyttöä varten.
Huomaa, että sinun on silti määritettävä yksilölliset avaimet
siinäkin tapauksessa kaksi pelaajaa."
347,d41d8cd98f00b204e9800998ecf8427e,"['configTouchscreenWindow', 'actionControlScaleText']","title for a control to scale the on-screen buttons up or down on a touchscreen
Context Image: http://files.froemling.net/translateGuideImages/configTouchscreen.png",Action Control Scale,Action Control Scale
348,d41d8cd98f00b204e9800998ecf8427e,"['configTouchscreenWindow', 'actionsText']",,Actions,Toiminnot
349,76c20131b3b0ec61c0a71b3d0717bb1e,"['configTouchscreenWindow', 'buttonsText']",,buttons,Nappulaiset
350,d41d8cd98f00b204e9800998ecf8427e,"['configTouchscreenWindow', 'dragControlsText']",,< drag controls to reposition them >,< vetämällä säätimiä siirtääksesi ne >
351,3dd0b2b8bbbef64f326eda6fae56f34e,"['configTouchscreenWindow', 'joystickText']",,joystick,Sauva
352,d41d8cd98f00b204e9800998ecf8427e,"['configTouchscreenWindow', 'movementControlScaleText']","title for a control to scale the on-screen movement controls up or down on a touchscreen
Context Image: http://files.froemling.net/translateGuideImages/configTouchscreen.png",Movement Control Scale,Liikkeenhallinta-asteikko
353,d9ca3dcfc00ac1b00bb8e5f5606b6b30,"['configTouchscreenWindow', 'movementText']",,Movement,Liike
354,efa3be4a382183af8b72cb77433b60aa,"['configTouchscreenWindow', 'resetText']",,Reset,Aseta uudelleen
355,d41d8cd98f00b204e9800998ecf8427e,"['configTouchscreenWindow', 'swipeControlsHiddenText']","title for a checkbox to hide the on-screen touch controls (only the ones in swipe mode)
Context Image: http://files.froemling.net/translateGuideImages/configTouchscreen2.png",Hide Swipe Icons,Piilota pyyhkäisykuvakkeet
356,d41d8cd98f00b204e9800998ecf8427e,"['configTouchscreenWindow', 'swipeInfoText']",,"'Swipe' style controls take a little getting used to but
make it easier to play without looking at the controls.","""Swipe""-tyylisäätimet vaativat hieman totuttelua, mutta
helpottaa pelaamista katsomatta säätimiä."
357,cad56e18726bf42bf0549565fa6bc8fb,"['configTouchscreenWindow', 'swipeText']",,swipe,Pyyhi
358,d376f4e278c66e046c3f5633c4bd62a7,"['configTouchscreenWindow', 'titleText']",,Configure Touchscreen,Määritä kosketusnäyttö
359,d41d8cd98f00b204e9800998ecf8427e,['configureDeviceInSystemSettingsText'],,${DEVICE} can be configured in the System Settings app.,${DEVICE} voidaan määrittää Järjestelmäasetukset-sovelluksessa.
360,26fdd4c06d0aa3178b4d3856f6bb15d4,['configureItNowText'],,Configure it now?,Määritetäänkö nyt?
361,4b14fc21764869cd6e19d315019dd16f,['configureText'],,Configure,Määritä
362,d41d8cd98f00b204e9800998ecf8427e,['confirmText'],Label for some UI element asking the user to confirm a purchase or other operation.,Confirm,Vahvistaa
363,819e775506c8cb4a5f1f3385924f12d4,"['connectMobileDevicesWindow', 'amazonText']",,Amazon Appstore,Amazon Appstore
364,d41d8cd98f00b204e9800998ecf8427e,"['connectMobileDevicesWindow', 'appStoreText']",,App Store,App Storesta
365,d41d8cd98f00b204e9800998ecf8427e,"['connectMobileDevicesWindow', 'bestResultsText']",,"For best results you'll need a lag-free wifi network. You can
reduce wifi lag by turning off other wireless devices, by
playing close to your wifi router, and by connecting the
game host directly to the network via ethernet.","Parhaan tuloksen saavuttamiseksi tarvitset viivettömän wifi-verkon. Voit
pienennä wifi-viivettä sammuttamalla muut langattomat laitteet
pelaaminen lähellä wifi-reititintäsi ja yhdistämällä
peliisäntä suoraan verkkoon Ethernetin kautta."
366,d41d8cd98f00b204e9800998ecf8427e,"['connectMobileDevicesWindow', 'explanationText']","description for the BombSquad Remote app info window
Context Image: http://files.froemling.net/translateGuideImages/mobileDeviceAsController.png","To use a smart-phone or tablet as a wireless controller,
install the ""${REMOTE_APP_NAME}"" app on it. Any number of devices
can connect to a ${APP_NAME} game over Wi-Fi, and it's free!","Jos haluat käyttää älypuhelinta tai tablettia langattomana ohjaimena,
asenna sovellus ""${REMOTE_APP_NAME}"" siihen. Mikä tahansa määrä laitteita
voi muodostaa yhteyden ${APP_NAME}-peliin Wi-Fin kautta, ja se on ilmaista!"
367,fe0bdcf693b830774d543ccb6d0897e8,"['connectMobileDevicesWindow', 'forAndroidText']",,for Android:,Androidille:
368,5db40b867c2137b028b76485592d8628,"['connectMobileDevicesWindow', 'forIOSText']",,for iOS:,iOS:lle:
369,d41d8cd98f00b204e9800998ecf8427e,"['connectMobileDevicesWindow', 'getItForText']",,"Get ${REMOTE_APP_NAME} for iOS at the Apple App Store
or for Android at the Google Play Store or Amazon Appstore","Hanki ${REMOTE_APP_NAME} iOS:lle Apple App Storesta
tai Androidille Google Play Storessa tai Amazon Appstoressa"
370,f4b913a976c88f8bce5abb6d23ba8b1c,"['connectMobileDevicesWindow', 'googlePlayText']","google play button in the BombSquad Remote app info window
Context Image: http://files.froemling.net/translateGuideImages/mobileDeviceAsController.png",Google Play,Google Play
371,c5f63907f6e22ef915ea54a55fdda5b8,"['connectMobileDevicesWindow', 'titleText']","title for the BombSquad Remote app info window
Context Image: http://files.froemling.net/translateGuideImages/mobileDeviceAsController.png",Using Mobile Devices as Controllers:,Mobiililaitteiden käyttö ohjaimina:
372,1d0a47d358c7bc1882e5adff4cffe141,['continuePurchaseText'],Some mini-games may allow purchasing an extra life/etc. for some tickets. This is shown in that case.,Continue for ${PRICE}?,Jatketaanko ${PRICE} hintaan?
373,169308b469d1045ea9cda11a30621f54,['continueText'],Label used on a button to continue the current game (possibly by purchasing/using an extra life).,Continue,Jatka
374,c018debada3ca33d66c72099d16abac7,['controlsText'],label used above a listing of which buttons do what,Controls,Kontrollit
375,d41d8cd98f00b204e9800998ecf8427e,"['coopSelectWindow', 'activenessAllTimeInfoText']","description for why the ""Activity"" multiplier is disabled when viewing ""All-Time"" rankings
Context Image: http://files.froemling.net/translateGuideImages/league.png",This does not apply to all-time rankings.,Tämä ei koske kaikkien aikojen sijoituksia.
376,2dc6dbcf48193bc1a09d4b5676084cc0,"['coopSelectWindow', 'activenessInfoText']","A pop-up description for the ""Activity"" multiplier, which scales your power-ranking-points up or down depending on how much you have been active recently
Context Image: http://files.froemling.net/translateGuideImages/powerRanking.png","This multiplier rises on days when you
play and drops on days when you do not.","Tämä kerroin nousee päivinä jolloin
pelaat ja laskee päivinä jolloin et."
377,93188dc58f02ef03e6977f1d301633f4,"['coopSelectWindow', 'activityText']","name of the ""Activity"" multiplier which scales your power-ranking up or down depending on how much you have been playing lately.
Context Image: http://files.froemling.net/translateGuideImages/powerRanking.png",Activity,Aktiivisuus
378,f6b5977e1258b36809594d5b778679e3,"['coopSelectWindow', 'campaignText']",,Campaign,Kamppanja
379,d41d8cd98f00b204e9800998ecf8427e,"['coopSelectWindow', 'challengesInfoText']","Describes the ""challenges"" section of the Single-Player/Coop window","Earn prizes for completing mini-games.

Prizes and difficulty levels increase
each time a challenge is completed and
decrease when one expires or is forfeited.","Ansaitse palkintoja suorittamalla minipelejä.

Palkinnot ja vaikeustasot kasvavat
aina kun haaste on suoritettu ja
vähennetään, kun sen voimassaolo päättyy tai se menetetään."
380,6848eaa69255b57e47b2a6096d24e34f,"['coopSelectWindow', 'challengesText']",Name for the section of the Single-Player/Co-op window in which players try to reach certain scores to win prizes.,Challenges,Haasteet
381,c179e83a749429a3d9f3400034356286,"['coopSelectWindow', 'currentBestText']","the label for the current best score in a tournament
Context Image: http://files.froemling.net/translateGuideImages/coopTourney.png",Current Best,Nykyinen Paras
382,af96a4d58677a6bb92f38b0ced6c1154,"['coopSelectWindow', 'customText']","title for the 'custom' section of the co-op window, where random extra games go",Custom,Tee-se-itse
383,5a2ad684e41ec1af162e1f68ff54721d,"['coopSelectWindow', 'entryFeeText']","Header for the ""entry fee"" column by a tournament button
Context Image: http://files.froemling.net/translateGuideImages/tournaments.png",Entry,Pääsymaksu
384,3c0b2857f186d77d29bd3ed5c065f74e,"['coopSelectWindow', 'forfeitConfirmText']",Confirmation message when giving up on a particular challenge game level,Forfeit this challenge?,Haluatko luovuttaa tämän haasteen?
385,d41d8cd98f00b204e9800998ecf8427e,"['coopSelectWindow', 'forfeitNotAllowedYetText']",Error message printed when trying to forfeit (give up) on a challenge too soon.,This challenge cannot be forfeited yet.,Tätä haastetta ei voi vielä hylätä.
386,70e70a6bc9320277ba4d85576f869f59,"['coopSelectWindow', 'forfeitText']","Button used to ""give up"" on a particular challenge level",Forfeit,Luovuta
387,f68a8f813ba96603582c3f1e5077918a,"['coopSelectWindow', 'multipliersText']","Title for the ""multipliers"" section of power-rankings, which scale your points up or down based on various factors.
Context Image: http://files.froemling.net/translateGuideImages/powerRanking.png",Multipliers,Kertoimet
388,7d9585c9bdbca97c398bf4212c8d2962,"['coopSelectWindow', 'nextChallengeText']","Label shown before a timer depicting when the next challenge level will be available. ie: ""Next Challenge : 10h 3m 28s""",Next Challenge,Seuraava Haaste
389,7c3c13aa51f28b0ebc809ce8a3f75fa2,"['coopSelectWindow', 'nextPlayText']","Label shown before a timer depicting when the next free-play will be available.  ie: ""Next Play : 12m 5s""",Next Play,Seuraava Peli
390,ddb27c42daabb78dbd67b9b0e30082b5,"['coopSelectWindow', 'ofTotalTimeText']","shows the total length of a tournament below the time-remaining value
Context Image: http://files.froemling.net/translateGuideImages/tournaments.png",of ${TOTAL},${TOTAL}:sta/stä
391,4706748f3ef4b0187332553b041e7dd6,"['coopSelectWindow', 'playNowText']",Label for a button to play immediately instead of waiting for a timer or for some other event to occur,Play Now,Pelaa NYT
392,669e45572affb135e1e13310959156a3,"['coopSelectWindow', 'pointsText']","Title for the ""points"" section of power-rankings, which shows total points earned from various things (achievements, trophies, etc).
Context Image: http://files.froemling.net/translateGuideImages/powerRanking.png",Points,Pisteet
393,d41d8cd98f00b204e9800998ecf8427e,"['coopSelectWindow', 'powerRankingFinishedSeasonUnrankedText']",shown when viewing a season in which the player did not end up ranked,(finished season unranked),(päättynyt kausi ilman sijoitusta)
394,d41d8cd98f00b204e9800998ecf8427e,"['coopSelectWindow', 'powerRankingNotInTopText']",shown in the power-rankings section when you are not in the top 1000 (or however big the list is),(not in the top ${NUMBER}),(ei parhaimmillaan ${NUMBER})
395,d41d8cd98f00b204e9800998ecf8427e,"['coopSelectWindow', 'powerRankingPointsEqualsText']","shows the total number of points for a row in the power-ranking section
Context Image: http://files.froemling.net/translateGuideImages/powerRankings.png",= ${NUMBER} pts,= ${NUMBER} pistettä
396,d41d8cd98f00b204e9800998ecf8427e,"['coopSelectWindow', 'powerRankingPointsMultText']","shows how many points an item is worth in the power-rankings section
Context Image: http://files.froemling.net/translateGuideImages/powerRankings.png",(x ${NUMBER} pts),(x ${NUMBER} pistettä)
397,d41d8cd98f00b204e9800998ecf8427e,"['coopSelectWindow', 'powerRankingPointsText']","used in various places that refer to a certain number of power-ranking points.
Context Image: http://files.froemling.net/translateGuideImages/powerRanking.png",${NUMBER} pts,${NUMBER} pistettä
398,d41d8cd98f00b204e9800998ecf8427e,"['coopSelectWindow', 'powerRankingPointsToRankedText']","shows how many points the player still has to get to become ranked.
Context Image: http://files.froemling.net/translateGuideImages/powerRanking2.png",(${CURRENT} of ${REMAINING} pts),(${CURRENT}/${REMAINING} pistettä)
399,d41d8cd98f00b204e9800998ecf8427e,"['coopSelectWindow', 'powerRankingText']","title for the ""power-ranking"" section, which gives a value for a player's overall progress. Feel free to translate this to any generic term such as ""Player Ranking"".
Context Image: http://files.froemling.net/translateGuideImages/powerRankings.png",Power Ranking,Teholuokitus
400,d41d8cd98f00b204e9800998ecf8427e,"['coopSelectWindow', 'prizesText']","the label for the prizes awarded in a tournament
Context Image: http://files.froemling.net/translateGuideImages/coopTourney.png",Prizes,Palkinnot
401,d41d8cd98f00b204e9800998ecf8427e,"['coopSelectWindow', 'proMultInfoText']","pop-up description of the ""BombSquad Pro"" multiplier, which gives players who have upgraded to Pro a slight boost.
Context Image: http://files.froemling.net/translateGuideImages/powerRanking.png","Players with the ${PRO} upgrade
receive a ${PERCENT}% point boost here.","Pelaajat, joilla on ${PRO}-päivitys
saat ${PERCENT} % pisteen lisäyksen täällä."
402,d41d8cd98f00b204e9800998ecf8427e,"['coopSelectWindow', 'seeMoreText']","title for a button in the power-rankings section which brings up a webpage showing all rankings
Context Image: http://files.froemling.net/translateGuideImages/powerRankings.png",More...,Lisää...
403,d41d8cd98f00b204e9800998ecf8427e,"['coopSelectWindow', 'skipWaitText']",Label for a button to skip some sort of wait,Skip Wait,Ohita Odota
404,d41d8cd98f00b204e9800998ecf8427e,"['coopSelectWindow', 'timeRemainingText']","the label for how much time is left in a tournament
Context Image: http://files.froemling.net/translateGuideImages/coopTourney.png",Time Remaining,Aikaa jäljellä
405,d41d8cd98f00b204e9800998ecf8427e,"['coopSelectWindow', 'toRankedText']","Shown after the percentage for players who have not yet reached the power-ranking list.
Context Image: http://files.froemling.net/translateGuideImages/powerRanking2.png",To Ranked,Sijoitulle
406,d41d8cd98f00b204e9800998ecf8427e,"['coopSelectWindow', 'totalText']","label for the ""total"" row at the bottom of the power-rankings section
Context Image: http://files.froemling.net/translateGuideImages/powerRankings.png",total,kokonais-
407,d41d8cd98f00b204e9800998ecf8427e,"['coopSelectWindow', 'tournamentInfoText']",Description for tournaments in the Single-Player/Co-op section,"Compete for high scores with
other players in your league.

Prizes are awarded to the top scoring
players when tournament time expires.","Kilpaile huippupisteistä kanssa
muita pelaajia liigassasi.

Parhaat pisteet palkitaan
pelaajia, kun turnausaika umpeutuu."
408,d41d8cd98f00b204e9800998ecf8427e,"['coopSelectWindow', 'welcome1Text']",First part of a welcome message shown the first time a user enters the single-player/co-op section.,"Welcome to ${LEAGUE}. You can improve your
league rank by earning star ratings, completing
achievements, and winning trophies in tournaments.","Tervetuloa ${LEAGUE}:een. Voit parantaa omaa
liigasijoitus ansaitsemalla tähtiluokituksia, suorittamalla
saavutuksia ja turnausten voittopalkintoja."
409,d41d8cd98f00b204e9800998ecf8427e,"['coopSelectWindow', 'welcome2Text']",Second part of a welcome message shown the first time a user enters the single-player/co-op section.,"You can also earn tickets from many of the same activities.
Tickets can be used to unlock new characters, maps, and
mini-games, to enter tournaments, and more.","Voit myös ansaita lippuja monista samoista aktiviteeteista.
Lippuja voidaan käyttää avaamaan uusia hahmoja, karttoja ja
minipelejä, osallistua turnauksiin ja paljon muuta."
410,d41d8cd98f00b204e9800998ecf8427e,"['coopSelectWindow', 'yourPowerRankingText']","label above the current player's power-ranking number
Context Image: http://files.froemling.net/translateGuideImages/powerRankings.png",Your Power Ranking:,Tehosijoituksesi:
411,d41d8cd98f00b204e9800998ecf8427e,['copyConfirmText'],,Copied to clipboard.,Kopioitu leikepöydälle.
412,d41d8cd98f00b204e9800998ecf8427e,['copyOfText'],"used when naming copies of a playlist, etc... so ""Playlist"" might become ""Playlist Copy"" or whatnot",${NAME} Copy,${NAME} Kopioi
413,d41d8cd98f00b204e9800998ecf8427e,['copyText'],as in 'copy & paste',Copy,Kopioida
414,d41d8cd98f00b204e9800998ecf8427e,['createEditPlayerText'],"When joining a game, this is an option that allows creating or editing a player profile instead of using one of the existing ones",<Create/Edit Player>,<Luo/muokkaa soitinta>
415,d41d8cd98f00b204e9800998ecf8427e,['createText'],"used on buttons which create new playlists, profiles, etc",Create,Luoda
416,d41d8cd98f00b204e9800998ecf8427e,"['creditsWindow', 'additionalAudioArtIdeasText']",,"Additional Audio, Early Artwork, and Ideas by ${NAME}","Lisäääntä, varhaista taidetta ja ideoita valmistajalta ${NAME}"
417,d41d8cd98f00b204e9800998ecf8427e,"['creditsWindow', 'additionalMusicFromText']",,Additional music from ${NAME},Lisää musiikkia kohteesta ${NAME}
